[2026-04-02T21:34:22.618Z] Spawning ./Simulator/build/grblHAL_sim -p 23000
[2026-04-02T21:34:22.624Z] PID 82034
[2026-04-02T21:34:34.946Z] sim→ws 71B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|WCO:0.000,0.000,0.000>\r
[2026-04-02T21:34:34.946Z] sim→ws 1B: \n
[2026-04-02T21:34:35.001Z] ws→sim 1B: ?
[2026-04-02T21:34:35.046Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:35.046Z] sim→ws 1B: \n
[2026-04-02T21:34:35.100Z] ws→sim 1B: ?
[2026-04-02T21:34:35.141Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:35.142Z] sim→ws 1B: \n
[2026-04-02T21:34:35.200Z] ws→sim 1B: ?
[2026-04-02T21:34:35.246Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:35.246Z] sim→ws 1B: \n
[2026-04-02T21:34:35.301Z] ws→sim 1B: ?
[2026-04-02T21:34:35.346Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:35.346Z] sim→ws 1B: \n
[2026-04-02T21:34:35.400Z] ws→sim 1B: ?
[2026-04-02T21:34:35.442Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:35.442Z] sim→ws 1B: \n
[2026-04-02T21:34:35.501Z] ws→sim 1B: ?
[2026-04-02T21:34:35.544Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:35.545Z] sim→ws 1B: \n
[2026-04-02T21:34:35.600Z] ws→sim 1B: ?
[2026-04-02T21:34:35.642Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:35.642Z] sim→ws 1B: \n
[2026-04-02T21:34:35.700Z] ws→sim 1B: ?
[2026-04-02T21:34:35.746Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:35.746Z] sim→ws 1B: \n
[2026-04-02T21:34:35.800Z] ws→sim 1B: ?
[2026-04-02T21:34:35.846Z] sim→ws 64B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|Ov:100,100,100>\r
[2026-04-02T21:34:35.846Z] sim→ws 1B: \n
[2026-04-02T21:34:35.900Z] ws→sim 1B: ?
[2026-04-02T21:34:35.946Z] sim→ws 71B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|WCO:0.000,0.000,0.000>\r
[2026-04-02T21:34:35.946Z] sim→ws 1B: \n
[2026-04-02T21:34:36.000Z] ws→sim 1B: ?
[2026-04-02T21:34:36.046Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:36.046Z] sim→ws 1B: \n
[2026-04-02T21:34:36.100Z] ws→sim 1B: ?
[2026-04-02T21:34:36.141Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:36.142Z] sim→ws 1B: \n
[2026-04-02T21:34:36.201Z] ws→sim 1B: ?
[2026-04-02T21:34:36.245Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
